retailer,category,url,name,quantity,price,currency
magnit,Молочное,https://magnit.ru/product/1000006915-tvorog_5_0_2kg_folga_tbilisskiy_msz_8,Творог Тбилисский МСЗ 5% 200г,200 г,94.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000006923-khleb_gorodskoy_narez_1c_0_5kg_p_up_sochinskiy_khk,Хлеб Городской нарезанный Сочинский ХК 500г,500 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000007691-sardelki_sochnye_n_o_v_myas_pr_sochinskiy_mk,Сардельки Сочинский МК Сочные весовые,1000 г,179.97,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000007736-td_smetanin_moloko_past_2_5_0_9kg_f_p_mz_myasnikovskiy_12,Молоко Моя цена пастеризованное 2.5% 800мл,823 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000008081-khleb_rzhanoy_0_5kg_p_up_pokrovskiy_khleb,Хлеб Ржаной Покровский хлеб 500г,500 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000008083-keks_sverdlovskiy_0_28kg_p_up_pokrovskiy_khleb,Кекс Свердловский Покровский хлеб 280г,280 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000008184-vatrushka_s_tvorogom_0_2kg_fl_p_vyaznikovskiy_khk,Ватрушка с творогом Вязниковский ХК 200г,200 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000008345-miratorg_shashlyk_svin_delikatesnyy_okhl_v_v_u_myasn_pr_skk_4,Мираторг Шашлык свиной Деликатесный,2100 г,965.97,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000008362-sdoba_kungurskaya_0_1kg_p_up_khlebnyy_dom,Сдоба Кунгурская Хлебный дом 100г,100 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000008363-khleb_pshenichnyy_form_1s_0_5kg_p_up_khlebnyy_dom,Хлеб Пшеничный формовой Хлебный дом 500г,500 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000008374-svinina_tushenaya_gost_325g_myasn_prod_atrus_18,Свинина Атрус тушеная 325г,325 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000008400-kolbasa_ukrainskaya_cherkizovo_livernaya_400g,Колбаса Черкизово Украинская с печенью ливерная 400г,400 г,109.99,RUB
magnit,Молочное,https://magnit.ru/product/1000008666-yogurt_grecheskiy_b_sakh_180g_vemol_15,Йогурт Вемол Греческий без сахара 180г,180 г,,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000009526-kinto_uksus_balzamicheskiy_250ml_darsil_6,Уксус Кинто бальзамический 250мл,250 мл,349.99,RUB
magnit,Молочное,https://magnit.ru/product/1000010392-carambas_chipsy_syr_150g_snek_kompani_18,Чипсы Carambas сыр 150г,150 г,119.0,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000010393-lapsha_doshirak_so_vkusom_govyadiny_70g,Лапша Доширак Квисти со вкусом говядины 70г,70 г,28.99,RUB
magnit,Напитки,https://magnit.ru/product/1000011310-napitok_lyubimyy_zemlyanichnoe_leto_950ml,Напиток Любимый Земляничное лето 950мл,950 мл,99.99,RUB
magnit,Напитки,https://magnit.ru/product/1000011311-napitok_lyubimyy_zemlyanichnoe_leto_1_93l,Напиток Любимый Земляничное лето 1.93л,1.93 л,179.0,RUB
magnit,Молочное,https://magnit.ru/product/1000011315-magnit_td_smetanin_tan_nap_k_m_0_5_1l_pl_but_rzps_6,Тан Магнит мжд 0.5% 1л,1 л,59.99,RUB
magnit,Молочное,https://magnit.ru/product/1000011316-magnit_td_smetanin_ayran_nap_kislomol0_5_1l_pl_but_rzps_6,Айран Магнит мжд 0.5% 1л,1 л,59.99,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000011479-kolbasa_buterbrodnaya_ob_var0_45kg_mini_myas_pr_omskbekon_58,Колбаса Омский Бекон Бутербродная вареная 450г,450 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000011949-syr_violette_slivochnyy_karat_70_0_4kg_karat_8,Сыр творожный Violette Cream cheese Сливочный 70% 400г,400 г,279.99,RUB
magnit,Напитки,https://magnit.ru/product/1000011993-kozelskaya_pitevaya_voda_5l_serebryanoe_koltso_2,Вода Козельская питьевая негазированная 5л,5 л,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000012105-miratorg_sheyka_svin_okhl_v_mar_v_termous_up_myasn_pr_skk_4_8,Шейка свиная Мираторг в маринаде,1200 г,887.98,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000012106-miratorg_lopatk_svin_okhl_v_mar_v_termous_up_myasn_pr_skk_4_8,Лопатка свиная Мираторг охлажденная в маринаде,1300 г,688.98,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000012107-miratorg_okorok_svin_okhl_v_mar_v_termous_up_myasn_pr_skk_4_8,Окорок свинины Мираторг в маринаде,1100 г,571.98,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000012386-sosiski_moloch_po_cherkiz_0_65kg_vinipak_cherkizovskiy_4,Сосиски Черкизово Молочные По-черкизовски 650г,650 г,369.99,RUB
magnit,Молочное,https://magnit.ru/product/1000012492-baton_molochnyy_portsionnyy_350g_p_up_pervyy_khk,Батон Молочный порционный нарезанный Первый ХК 350г,350 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000012612-baton_nareznoy_narez_200g_p_up_arzamasskiy_khleb,Батон Нарезной нарезанный Арзамасский хлеб 200г,200 г,,RUB
magnit,Напитки,https://magnit.ru/product/1000013567-voda_svyatoy_istochnik_pitevaya_negazirovannaya_plastik_0_5l,Вода Святой Источник питьевая негазированная 500мл,500 мл,44.99,RUB
magnit,Напитки,https://magnit.ru/product/1000013568-svyatoy_istochnik_pitev_voda_gaz_0_5l_pl_but_borjomi_ids_12,Вода Святой Источник питьевая газированная 500мл,500 мл,44.99,RUB
magnit,Молочное,https://magnit.ru/product/1000013704-korovka_iz_korenovki_kefir_gost_0_9l_pl_but_kmkk_6,Кефир Коровка из Кореновки 2.7% 900г,900 г,109.99,RUB
magnit,Молочное,https://magnit.ru/product/1000013732-moloko_selo_zelenoe_ultrapasterizovannoe_2_5_950ml,Молоко Село Зеленое ультрапастеризованное 2.5% 950мл,977 г,83.99,RUB
magnit,Молочное,https://magnit.ru/product/1000013733-moloko_selo_zelenoe_ultrapasterizovannoe_3_2_950ml,Молоко Село Зеленое ультрапастеризованное 3.2% 950мл,977 г,89.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000013734-selo_zelenoe_nap_syv_n_zh_pers_marak_0_5l_t_reks_sarapul_12,Напиток сывороточный Село Зеленое Персик-маракуйя 500мл,524 г,62.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000013736-selo_zelenoe_nap_syv_n_zh_yablk_grush_0_5l_t_reks_sarapul_12,Напиток сывороточный Село Зеленое Яблоко-груша 500мл,524 г,69.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000013737-selo_zelenoe_nap_syv_n_zh_apels_mango_0_5l_t_reks_milkom,Напиток Село Зеленое сывороточный апельсин-манго 500мл,524 г,,RUB
magnit,Напитки,https://magnit.ru/product/1000013928-kofe_tchibo_gold_selection_rastvorimyy_75g,Кофе растворимый Tibio/Tchibo Gold Selection 75г,75 г,299.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000013970-baton_provansal_250g_kulinariya,Батон Провансаль 250г,250 г,79.99,RUB
magnit,Молочное,https://magnit.ru/product/1000013972-syrok_glazirovannyy_vkusnoteevo_vanilnyy_premium_40g,Сырок глазированный Вкуснотеево Премиум с ванилью 16% 40г,40 г,45.99,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000014251-svinina_tushenaya_bogatyrskaya_yoshkar_olinskiy_mk_325g,Свинина тушеная Йошкар-Олинский МК Богатырская 325г,325 г,89.99,RUB
magnit,Молочное,https://magnit.ru/product/1000014294-konfety_rot_front_ptiche_moloko_slivochno_vanilnoe_225g,Конфеты Рот фронт Птичье молоко настоящие 225г,225 г,149.99,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000014460-naggetsy_zolotoy_petushok_s_syrom_300g,Наггетсы Золотой петушок с сыром 300г,300 г,259.99,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000014461-naggetsy_zolotoy_petushok_traditsionnye_myaso_tsyplyat_300g,Наггетсы Золотой петушок Традиционные из мяса цыпленка 300г,300 г,249.99,RUB
magnit,Консервы,https://magnit.ru/product/1000014537-magnit_semeynye_sekrety_konservy_golubtsy_myas_ris_525g_12,Консервы Магнит Голубцы мясо с рисом 540г,540 г,129.99,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000014596-mayonez_moskovskiy_provansal_klassicheskiy_67_210g,Майонез Я люблю готовить Московский провансаль 67% 220мл,220 мл,85.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000014628-sen_soy_zapravka_d_kapusty_po_koreyski_80g_sostra_20,Заправка Sen Soy для капусты по-корейски 80г,80 г,59.99,RUB
magnit,Крупы и макароны,https://magnit.ru/product/1000014629-sen_soy_bumaga_risovaya_100g_sostra_20,Рисовая бумага Sen Soy 100г,100 г,96.99,RUB
magnit,Молочное,https://magnit.ru/product/1000014681-moloko_alekseevskoe_sgushchennoe_s_sakharom_tselnoe_270g,Молоко сгущенное Алексеевское 8.5% 270г,270 г,119.99,RUB
magnit,Консервы,https://magnit.ru/product/1000014811-ananas_moya_tsena_kusochki_konservirovannye_565g,Ананас Моя цена кусочки консервированные 565г,565 г,169.99,RUB
magnit,Консервы,https://magnit.ru/product/1000014812-ananas_moya_tsena_koltsa_konservirovannye_565g,Ананас Моя цена кольца консервированные 565г,565 г,169.99,RUB
magnit,Специи и приправы,https://magnit.ru/product/1000015588-magnit_drozhzhi_bystrodeystvuyushchie_11g_60_480,Дрожжи Магнит быстродействующие 11г,12 г,16.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000016088-nabor_dlya_okroshki_luk_ukrop_redis,Набор зелени для окрошки зеленый лук укроп редис М Свежесть 200г,200 г,142.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000016105-smorodina_chernaya_125g,Смородина черная,125 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000016560-lazanya_zolotoy_petushok_myasnaya_370g,Лазанья Золотой петушок Мясная замороженная 370г,370 г,269.0,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000016691-sloboda_mayonez_na_perepelinykh_yaytsakh_67_375g_d_p_efko_24,Майонез Слобода на перепелиных яйцах 67% 375г,375 г,99.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000016825-tort_polennitsa_0_5kg_chelny_khleb,Торт Поленница Челны-хлеб 500г,500 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000017389-smes_malysh_istrinskiy_molochnaya_350gr,1 Молочная смесь Малыш 350г,350 г,299.99,RUB
magnit,Молочное,https://magnit.ru/product/1000017390-smes_malysh_istrinskiy_2_molochnaya_350g,Смесь Малыш Истринский 2 Молочная 350г,350 г,299.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000017461-mango_ekstra_tsena_za_sht_300g_razlichnye_postavshchiki,Манго Экстра 300г,300 г,239.99,RUB
magnit,Напитки,https://magnit.ru/product/1000017642-uvinskaya_zhemchuzhina_mineralnaya_voda_1_5l_vodoley_6,Вода Увинская Жемчужина минеральная газированная 1.5л,1.5 л,,RUB
magnit,Напитки,https://magnit.ru/product/1000017643-uvinskaya_zhemchuzhina_mineralnaya_voda_negaz_1_5l_vodoley_6,Вода Увинская Жемчужина минеральная негазированная 1.5л,1.5 л,,RUB
magnit,Молочное,https://magnit.ru/product/1000017714-korovka_iz_korenovki_moloko_pastotb3_4_6_0_9l_pl_but_kmkk_6,Молоко Коровка из Кореновки отборное пастеризованное 3.4-6% 900мл,927 г,109.99,RUB
magnit,Молочное,https://magnit.ru/product/1000017759-moloko_past_3_2_0_9l_f_p_mpz_tashlinskiy,Молоко Ташлинский МПЗ пастеризованное 3.2% 900мл,900 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000017760-moloko_past_2_5_0_9l_f_p_mpz_tashlinskiy,Молоко МПЗ Ташлинский пастеризованное 2.5% 900мл,900 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000017840-rulet_smetannyy_s_vishney_0_35kg_tortyana,Рулет Сметанный с вишней Тортьяна 350г,350 г,,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000017879-pirozhnoe_pyanaya_vishnya_0_15kg_metropolis_ooo,Пирожное Пьяная вишня Метрополис 150г,150 г,,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000017927-maslo_podsolnechnoe_zolotaya_semechka_rafinirovannoe_dezodorirovannoe_1_8l,Масло подсолнечное Золотая семечка рафинированное дезодорированное 1.8л,1.8 л,239.99,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000018143-pyure_myasnoe_frutonyanya_telyatina_80g,Пюре из телятины с 6 месяцев Фрутоняня 80г,80 г,98.99,RUB
magnit,Молочное,https://magnit.ru/product/1000019526-galbani_syr_motsarella_maksi_45_250g_laktalis_vostok_8,Сыр Galbani Моцарелла макси 45% 250г,250 г,330.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000019825-ukrop_sushenyy_vostochnyy_gost_10g,Укроп Восточный гость сушеный 10г,10 г,36.99,RUB
magnit,Консервы,https://magnit.ru/product/1000019854-zolotaya_fishka_pres_gorbusha_skumbr_pryan_180g_akvatoriyayug_6,Горбуша и скумбрия Золотая Fihka 180г,180 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000020700-td_smetanin_moloko_u_past_2_5_900g_tfa_lyubimyy_gorod_12,Молоко ТД Сметанин ультрапастеризованное 2.5% 876мл,900 г,69.99,RUB
magnit,Молочное,https://magnit.ru/product/1000020701-td_smetanin_moloko_u_past_3_2_900g_tfa_lyubimyy_gorod_12,Молоко ТД Сметанин ультрапастеризованное 3.2% 876мл,900 г,73.99,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000020779-khalva_podsolnechnaya_vostochnyy_gost_500g,Халва Восточный гость подсолнечная 500г,500 г,119.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000020796-tort_biskvitnyy_vishenka_0_7kg_kirovo_chepetskiy_khlebokombinat_oao,Торт Бисквитный Вишенка Кирово-Чепецкий ХК 700г,700 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000020826-syr_kamamber_50_125g_tommoloko_8,Сыр Camambert Great Kitchen мягкий с белой плесенью 50% 125г,125 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000020838-khleb_ukrainskiy_novyy_0_6kg_p_up_karavay_10,Хлеб Украинский новый Каравай 600г,600 г,,RUB
magnit,Напитки,https://magnit.ru/product/1000021015-napitok__baykal_napitki_iz_chernogolovki_gazirovannyy_500ml,Напиток Черноголовка Байкал 500мл,500 мл,89.99,RUB
magnit,Напитки,https://magnit.ru/product/1000021016-napitok__dyushes_napitki_iz_chernogolovki_gazirovannyy_500ml,Напиток Черноголовка Дюшес 500мл,500 мл,89.99,RUB
magnit,Напитки,https://magnit.ru/product/1000021017-napitok_tarkhun_napitki_iz_chernogolovki_gazirovannyy_500ml,Напиток Черноголовка Тархун 500мл,500 мл,89.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000021067-khleb_uralskiy_novyy_ports_600g_p_up_pervyy_khk,Хлеб Уральский новый ржано-пшеничный подовый порционный нарезанный Первый ХК 600г,600 г,,RUB
magnit,Консервы,https://magnit.ru/product/1000021923-skumbriya_rybnoe_menyu_s_ovoshchnym_garnirom_250g,Скумбрия Рыбное меню с овощным гарниром в томатном соусе 250г,250 г,149.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000022179-tort_marsel_0_8kg_arzamasskiy_khleb_zao,Торт Марсель Арзамасский хлеб 800г,800 г,,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000022371-mayonez_makheev_provansal_50_5_800g,Майонез Махеевъ Провансаль 50.5% 800г,800 г,209.99,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000022942-olivkovoe_maslo_spainolli_extra_virgin_500ml,Масло оливковое Extra Virgin Premiere of Taste 500мл,500 мл,509.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000023079-khleb_derevenskiy_podov_narez_0_3kg_p_up_sverdlovskiykhmk,Хлеб Деревенский подовый нарезанный Свердловский ХМК 300г,300 г,,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000023182-dirol_zhev_rezinka_arbuznaya_svezh13_6_g_kraftfudsrus_30_720,Жевательная резинка Dirol Арбузная свежесть 13.6г,14 г,29.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000023190-khleb_darnitskiy_v_nar_up_0_32kg_zao_shchelkovokhleb_,Хлеб Дарницкий нарезанный Щелковохлеб 320г,320 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000023405-pyure_rollton_kartofelnoe_s_myasnym_vkusom_40g,Пюре Роллтон картофельное с мясным вкусом 40г,40 г,49.99,RUB
magnit,Молочное,https://magnit.ru/product/1000023413-moya_tsena_moloko_u_past_1_5_0_97l_tba_milkom_12,Молоко Моя цена ультрапастеризованное 1.5% 973мл,1000 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000023414-moya_tsena_moloko_u_past_2_5_0_97l_tba_milkom_12,Молоко Моя цена ультрапастеризованное 2.5% 973мл,1000 г,,RUB
magnit,Специи и приправы,https://magnit.ru/product/1000023713-morozhenoe_briket_vanil_80g_kurskiy_khk_45,Мороженое Курский ХК Брикет Ваниль 80г,80 г,,RUB
